shapes,block,div,stim_file_pos,noise_pos,ShapeDiv_combo,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
input_data/stims/Shape_1.10_2.00.png,1,2,1.1,2.0,3.0,-13.197594,6.8748503,4.0420284,-2.3565483,-1.5494304,0.29797205,0.9189269,2.6980166,-0.121347435,-1.8990624,0.7072057,0.41804472,1.0221397,-0.7115008,0.30557266,0.36525255,0.5558746,-0.059618074,-0.20271456,-3.558715e-05
input_data/stims/Shape_1.10_2.00.png,1,2,1.1,2.0,3.0,-13.197594,6.8748503,4.0420284,-2.3565483,-1.5494304,0.29797205,0.9189269,2.6980162,-0.12134755,-1.8990608,0.7072062,0.41804507,1.0221397,-0.71150064,0.30557242,0.36525288,0.55587476,-0.059618287,-0.20271404,-3.558717e-05
input_data/stims/Shape_1.30_2.00.png,1,2,1.3,2.0,3.0,-8.087371,8.910081,2.4539003,-0.6617089,-4.079055,-0.5196783,1.0074457,-1.2615939,0.6783692,0.8485181,-0.42870802,1.8414171,-0.6920296,0.92859286,-0.5737894,-0.4769395,0.0445658,-0.2266582,0.17148878,-3.558633e-05
input_data/stims/Shape_1.30_2.00.png,1,2,1.3,2.0,3.0,-8.087371,8.910081,2.4539003,-0.6617089,-4.079055,-0.5196783,1.0074457,-1.2615939,0.6783692,0.8485181,-0.42870802,1.8414171,-0.69202965,0.9285938,-0.57378894,-0.4769397,0.04456562,-0.22665818,0.17148887,-3.5586334e-05
input_data/stims/Shape_1.50_2.00.png,1,2,1.5,2.0,3.0,-4.7183666,7.5269384,-0.4705731,-2.695015,-2.1342325,-0.96634257,1.3808,-2.0734046,-1.0062797,1.2926393,0.35825583,-1.7318412,0.20303008,-1.0438181,0.51488966,0.2537313,-0.46889454,0.3607216,-0.10011467,-3.558716e-05
input_data/stims/Shape_1.50_2.00.png,1,2,1.5,2.0,3.0,-4.7183666,7.5269384,-0.4705731,-2.695015,-2.1342325,-0.96634257,1.3808,-2.0734046,-1.0062797,1.2926393,0.35825583,-1.7318412,0.20303008,-1.043818,0.5148901,0.25373182,-0.4688942,0.36072147,-0.100114614,-3.5587105e-05
input_data/stims/Shape_1.70_2.00.png,1,2,1.7,2.0,3.0,-1.0306021,6.958198,-3.7344623,-1.5596905,-0.16498066,-0.9431894,-3.782399,0.82771415,-1.5614176,-0.31449273,1.1447937,-0.6277602,-0.48716572,0.94668216,-0.5175722,0.17057233,0.05324944,-0.18811223,0.5218577,-3.558674e-05
input_data/stims/Shape_1.70_2.00.png,1,2,1.7,2.0,3.0,-1.0306021,6.958198,-3.7344623,-1.5596905,-0.16498066,-0.9431894,-3.782399,0.82771415,-1.5614176,-0.31449273,1.1447937,-0.6277602,-0.48716572,0.94668216,-0.5175722,0.17057244,0.053249583,-0.18811168,0.5218574,-3.5586727e-05
input_data/stims/Shape_1.90_2.00.png,1,2,1.9,2.0,3.0,2.0394065,5.0780287,-3.2995229,-0.9149282,0.19628333,2.4386327,-2.4817193,-1.5548304,2.4229527,-1.0303862,-0.12856358,0.021348419,0.12366606,-0.55132663,0.7207208,-0.8139283,-0.12152447,0.27567348,-0.05332116,-3.5586818e-05
input_data/stims/Shape_1.90_2.00.png,1,2,1.9,2.0,3.0,2.0394065,5.0780287,-3.2995229,-0.9149282,0.19628333,2.4386327,-2.4817193,-1.5548304,2.4229527,-1.0303862,-0.12856358,0.021348419,0.12366606,-0.55132663,0.7207208,-0.81392825,-0.121524565,0.2756734,-0.053321294,-3.558685e-05
input_data/stims/Shape_2.10_2.00.png,1,2,2.1,2.0,4.0,5.292351,2.5580196,-5.4843607,-1.3428699,2.7649753,0.18341413,-0.11632433,0.55139816,0.31415623,2.1650279,0.23970042,1.2000372,0.63242,-0.40762672,-0.08776342,0.642252,0.90354764,-0.15033138,-0.60853887,-3.5586796e-05
input_data/stims/Shape_2.10_2.00.png,1,2,2.1,2.0,4.0,5.292351,2.5580196,-5.4843607,-1.3428699,2.7649753,0.18341413,-0.11632433,0.55139816,0.31415623,2.1650279,0.23970042,1.2000372,0.63242,-0.40762672,-0.08776342,0.642252,0.90354764,-0.15033138,-0.60853887,-3.5586796e-05
input_data/stims/Shape_2.30_2.00.png,1,2,2.3,2.0,4.0,5.54173,3.1065931,-3.7363617,0.50212634,2.9278255,1.8049631,3.540125,-0.07939168,-0.7604953,-0.4953645,0.80175906,0.07033925,0.70060295,1.1146935,0.2798131,-0.59836113,-0.26520547,0.21032152,0.62652963,-3.5586323e-05
input_data/stims/Shape_2.30_2.00.png,1,2,2.3,2.0,4.0,5.54173,3.1065931,-3.7363617,0.50212634,2.9278255,1.8049631,3.540125,-0.07939168,-0.7604953,-0.4953645,0.80175906,0.07033925,0.70060295,1.1146935,0.2798131,-0.59836113,-0.26520547,0.21032152,0.62652963,-3.5586323e-05
input_data/stims/Shape_2.50_2.00.png,1,2,2.5,2.0,4.0,6.390913,4.9788175,-3.94944,1.6833475,0.972265,-0.29342014,0.79607356,0.89519244,-0.22496139,-1.0852957,-1.4982756,0.37145087,-0.77183884,-0.9559369,-1.2182359,0.48001832,-1.0926229,0.024546703,-0.22542697,-3.5587334e-05
input_data/stims/Shape_2.50_2.00.png,1,2,2.5,2.0,4.0,6.390913,4.9788175,-3.94944,1.6833475,0.972265,-0.29342014,0.79607356,0.89519244,-0.22496139,-1.0852957,-1.4982756,0.37145087,-0.77183884,-0.9559369,-1.2182359,0.48001832,-1.0926229,0.024546703,-0.22542697,-3.5587334e-05
input_data/stims/Shape_2.70_2.00.png,1,2,2.7,2.0,4.0,7.472537,2.9813075,0.41966417,4.8031454,0.5668912,-2.5064416,0.67316216,-1.4876802,1.1652515,-0.8099716,-0.38717642,-1.2421458,0.5945234,0.118062265,-0.30356663,0.23871455,0.96844864,-0.8188275,0.19869737,-3.558738e-05
input_data/stims/Shape_2.70_2.00.png,1,2,2.7,2.0,4.0,7.472537,2.9813075,0.41966417,4.8031454,0.5668912,-2.5064416,0.67316216,-1.4876802,1.1652515,-0.8099716,-0.38717642,-1.2421458,0.5945234,0.118062265,-0.30356663,0.23871455,0.96844864,-0.8188275,0.19869737,-3.558738e-05
input_data/stims/Shape_2.90_2.00.png,1,2,2.9,2.0,4.0,9.666587,1.6769584,0.17533955,5.1170363,-0.8577061,-1.9206878,-0.5117783,1.2334533,-0.9988335,0.063326575,-0.46261406,0.25339514,-0.4993547,0.36049065,1.1571262,-0.6232132,0.21615325,0.97774315,-0.6856909,-3.5586712e-05
