shape_order,sess_type,final_pos_orig,final_pos
flat_curv,C,0.281,-0.281
curv_flat,C,0.119,0.119
flat_curv,C,0.335,-0.335
flat_curv,C,-0.378,0.378
curv_flat,C,0.277,0.277
flat_curv,C,-0.314,0.314
flat_curv,C,-0.247,0.247
flat_curv,C,0.024,-0.024
flat_curv,C,0.084,-0.084
curv_flat,C,0.052,0.052
curv_flat,C,0.37,0.37
curv_flat,C,0.1,0.1
flat_curv,C,0.288,-0.288
curv_flat,C,-0.104,-0.104
curv_flat,C,-0.398,-0.398
curv_flat,C,0.273,0.273
flat_curv,C,-0.372,0.372
curv_flat,C,0.351,0.351
curv_flat,C,-0.398,-0.398
flat_curv,C,-0.081,0.081
curv_flat,C,0.071,0.071
flat_curv,C,0.034,-0.034
curv_flat,C,0.073,0.073
curv_flat,C,0.083,0.083
flat_curv,C,0.249,-0.249
flat_curv,C,0.22,-0.22
curv_flat,C,-0.089,-0.089
curv_flat,C,-0.32,-0.32
flat_curv,C,0.056,-0.056
flat_curv,C,0.064,-0.064
flat_curv,C,0.284,-0.284
curv_flat,C,-0.398,-0.398
curv_flat,C,0.228,0.228
flat_curv,C,0.37,-0.37
curv_flat,C,0.041,0.041
curv_flat,C,-0.397,-0.397
curv_flat,C,-0.279,-0.279
curv_flat,C,0.107,0.107
flat_curv,C,0.257,-0.257
curv_flat,C,0.033,0.033
curv_flat,C,-0.061,-0.061
curv_flat,C,-0.295,-0.295
flat_curv,C,0.012,-0.012
curv_flat,C,-0.268,-0.268
flat_curv,C,0.274,-0.274
flat_curv,C,-0.016,0.016
flat_curv,C,0.313,-0.313
curv_flat,C,-0.289,-0.289
curv_flat,C,-0.398,-0.398
curv_flat,C,-0.318,-0.318
flat_curv,C,0.118,-0.118
flat_curv,C,0.272,-0.272
flat_curv,C,0.082,-0.082
curv_flat,C,0.112,0.112
curv_flat,C,-0.041,-0.041
flat_curv,C,0.054,-0.054
curv_flat,C,-0.068,-0.068
curv_flat,C,0.114,0.114
flat_curv,C,0.246,-0.246
flat_curv,C,0.075,-0.075
curv_flat,C,-0.277,-0.277
flat_curv,C,0.264,-0.264
flat_curv,C,0.077,-0.077
flat_curv,C,0.041,-0.041
flat_curv,C,-0.266,0.266
flat_curv,C,-0.247,0.247
curv_flat,C,0.264,0.264
flat_curv,C,-0.085,0.085
curv_flat,C,0.279,0.279
flat_curv,C,-0.119,0.119
curv_flat,C,0.295,0.295
curv_flat,C,0.276,0.276
curv_flat,C,0.249,0.249
flat_curv,C,-0.232,0.232
curv_flat,C,0.269,0.269
flat_curv,C,-0.239,0.239
curv_flat,C,-0.112,-0.112
flat_curv,C,-0.082,0.082
flat_curv,C,-0.19,0.19
curv_flat,C,0.222,0.222
curv_flat,C,0.25,0.25
flat_curv,C,-0.4,0.4
flat_curv,C,-0.284,0.284
flat_curv,C,-0.059,0.059
curv_flat,C,0.092,0.092
flat_curv,C,-0.034,0.034
curv_flat,C,0.26,0.26
flat_curv,C,-0.257,0.257
curv_flat,C,0.264,0.264
curv_flat,C,0.24,0.24
flat_curv,C,-0.128,0.128
flat_curv,C,-0.289,0.289
curv_flat,C,0.216,0.216
curv_flat,C,0.233,0.233
curv_flat,C,0.145,0.145
flat_curv,C,-0.122,0.122
flat_curv,C,-0.277,0.277
