boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.5,b=0.50,0.4285714328289032,8,8,0.0,0.459228,0.0,1,-0.0714285671710968,-0.04077199101448059,9.0
0.5,b=0.50,0.4761904776096344,9,9,0.0,0.4836554,0.0,1,-0.0238095223903656,-0.01634460687637329,10.0
0.5,b=0.50,0.523809552192688,10,10,1.0,0.5081611,1.0,1,0.02380955219268799,0.00816112756729126,11.0
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.5326277,1.0,1,0.07142859697341919,0.03262770175933838,12.0
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.5569384,1.0,1,0.11904764175415039,0.05693840980529785,13.0
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.5809794,1.0,1,0.1666666865348816,0.08097940683364868,14.0
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.6046418,1.0,1,0.2142857313156128,0.10464179515838623,15.0
0.5,b=0.50,0.761904776096344,15,15,1.0,0.627824,1.0,1,0.261904776096344,0.12782400846481323,16.0
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.6504329,1.0,1,0.3095238208770752,0.15043288469314575,17.0
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.6723849,1.0,1,0.3571428656578064,0.17238491773605347,18.0
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.6936078,1.0,1,0.4047619104385376,0.19360780715942383,19.0
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.7140406,1.0,1,0.4523809552192688,0.2140405774116516,20.0
0.75,b=0.75,0.2857142984867096,0,0,0.0,0.5417113,0.0,1,-0.4642857015132904,-0.20828872919082642,1.0
0.75,b=0.75,0.3333333432674408,1,1,0.0,0.5659345,0.0,1,-0.4166666567325592,-0.18406552076339722,2.0
0.75,b=0.75,0.380952388048172,2,2,0.0,0.5898468,0.0,1,-0.369047611951828,-0.16015321016311646,3.0
