boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.75,b=0.75,0.8095238208770752,13,11,1.0,0.78134555,1.0,8,0.059523820877075195,0.03134554624557495
0.75,b=0.75,0.8571428656578064,14,12,1.0,0.79568535,1.0,8,0.1071428656578064,0.04568535089492798
0.75,b=0.75,0.8571428656578064,15,12,1.0,0.79568535,1.0,8,0.1071428656578064,0.04568535089492798
0.75,b=0.75,0.9047619104385376,16,13,1.0,0.809314,1.0,8,0.1547619104385376,0.05931401252746582
0.75,b=0.75,0.9047619104385376,17,13,1.0,0.809314,1.0,8,0.1547619104385376,0.05931401252746582
0.75,b=0.75,0.9523809552192688,18,14,1.0,0.8222369,1.0,8,0.2023809552192688,0.07223689556121826
0.75,b=0.75,0.9523809552192688,19,14,1.0,0.8222369,1.0,8,0.2023809552192688,0.07223689556121826
0.25,b=0.25,0.0476190485060215,0,0,0.0,0.20061806,0.0,9,-0.2023809514939785,-0.04938194155693054
0.25,b=0.25,0.0476190485060215,1,0,0.0,0.20061806,0.0,9,-0.2023809514939785,-0.04938194155693054
0.25,b=0.25,0.095238097012043,2,1,0.0,0.20369214,0.0,9,-0.154761902987957,-0.04630786180496216
0.25,b=0.25,0.095238097012043,3,1,0.0,0.20369214,0.0,9,-0.154761902987957,-0.04630786180496216
0.25,b=0.25,0.1428571492433548,4,2,0.0,0.20993996,0.0,9,-0.1071428507566452,-0.04006004333496094
0.25,b=0.25,0.1428571492433548,5,2,0.0,0.20993996,0.0,9,-0.1071428507566452,-0.04006004333496094
0.25,b=0.25,0.190476194024086,6,3,0.0,0.2267592,0.0,9,-0.059523805975914,-0.02324080467224121
0.25,b=0.25,0.190476194024086,7,3,0.0,0.2267592,0.0,9,-0.059523805975914,-0.02324080467224121
0.25,b=0.25,0.2380952388048172,8,4,0.0,0.24450886,0.0,9,-0.0119047611951828,-0.005491137504577637
0.25,b=0.25,0.2380952388048172,9,4,0.0,0.24450886,0.0,9,-0.0119047611951828,-0.005491137504577637
0.25,b=0.25,0.2857142984867096,10,5,1.0,0.26317498,1.0,9,0.035714298486709595,0.013174980878829956
0.25,b=0.25,0.3333333432674408,11,6,1.0,0.28273284,1.0,9,0.0833333432674408,0.03273284435272217
0.25,b=0.25,0.380952388048172,12,7,1.0,0.30314618,1.0,9,0.130952388048172,0.053146183490753174
0.25,b=0.25,0.4285714328289032,13,8,1.0,0.3243668,1.0,9,0.1785714328289032,0.07436680793762207
0.25,b=0.25,0.4761904776096344,14,9,1.0,0.34633467,1.0,9,0.2261904776096344,0.09633466601371765
0.25,b=0.25,0.523809552192688,15,10,1.0,0.3689778,1.0,9,0.273809552192688,0.11897778511047363
0.25,b=0.25,0.5714285969734192,16,11,1.0,0.39221302,1.0,9,0.3214285969734192,0.14221301674842834
0.25,b=0.25,0.6190476417541504,17,12,1.0,0.41594702,1.0,9,0.3690476417541504,0.16594702005386353
0.25,b=0.25,0.6666666865348816,18,13,1.0,0.44007725,1.0,9,0.4166666865348816,0.19007724523544312
0.25,b=0.25,0.7142857313156128,19,14,1.0,0.46449402,1.0,9,0.4642857313156128,0.2144940197467804
0.5,b=0.50,0.0476190485060215,0,0,0.0,0.27908674,0.0,9,-0.4523809514939785,-0.22091326117515564
