boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,rep,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.25,b=0.25,0.6749999999999999,18,13,1.0,3,0.39744484,1.0,0,0.42499999999999993,0.14744484424591064
0.25,b=0.25,0.6749999999999999,18,13,1.0,8,0.39744484,1.0,0,0.42499999999999993,0.14744484424591064
0.5,b=0.50,0.6749999999999999,13,13,1.0,9,0.5829483,1.0,0,0.17499999999999993,0.08294832706451416
0.5,b=0.50,0.6749999999999999,13,13,1.0,3,0.5829483,1.0,0,0.17499999999999993,0.08294832706451416
0.5,b=0.50,0.6749999999999999,13,13,1.0,8,0.5829483,1.0,0,0.17499999999999993,0.08294832706451416
0.75,b=0.75,0.9249999999999999,17,13,1.0,0,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.75,b=0.75,0.9249999999999999,17,13,1.0,2,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.75,b=0.75,0.9249999999999999,16,13,1.0,3,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.75,b=0.75,0.9249999999999999,17,13,1.0,9,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.75,b=0.75,0.9249999999999999,16,13,1.0,0,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.75,b=0.75,0.9249999999999999,16,13,1.0,1,0.8750392,1.0,0,0.17499999999999993,0.1250392198562622
0.25,b=0.25,0.725,19,14,1.0,9,0.42197067,1.0,0,0.475,0.1719706654548645
0.25,b=0.25,0.725,19,14,1.0,3,0.42197067,1.0,0,0.475,0.1719706654548645
0.25,b=0.25,0.725,19,14,1.0,8,0.42197067,1.0,0,0.475,0.1719706654548645
0.5,b=0.50,0.725,14,14,1.0,9,0.6074741,1.0,0,0.22499999999999998,0.10747408866882324
0.5,b=0.50,0.725,14,14,1.0,3,0.6074741,1.0,0,0.22499999999999998,0.10747408866882324
0.5,b=0.50,0.725,14,14,1.0,8,0.6074741,1.0,0,0.22499999999999998,0.10747408866882324
0.75,b=0.75,0.975,19,14,1.0,0,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.75,b=0.75,0.975,19,14,1.0,2,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.75,b=0.75,0.975,18,14,1.0,3,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.75,b=0.75,0.975,19,14,1.0,9,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.75,b=0.75,0.975,18,14,1.0,0,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.75,b=0.75,0.975,18,14,1.0,1,0.8793212,1.0,0,0.22499999999999998,0.12932121753692627
0.5,b=0.50,0.7749999999999999,15,15,1.0,9,0.63199985,1.0,0,0.2749999999999999,0.13199985027313232
0.5,b=0.50,0.7749999999999999,15,15,1.0,3,0.63199985,1.0,0,0.2749999999999999,0.13199985027313232
0.5,b=0.50,0.7749999999999999,15,15,1.0,8,0.63199985,1.0,0,0.2749999999999999,0.13199985027313232
0.5,b=0.50,0.825,16,16,1.0,9,0.6565258,1.0,0,0.32499999999999996,0.15652579069137573
0.5,b=0.50,0.825,16,16,1.0,3,0.6565258,1.0,0,0.32499999999999996,0.15652579069137573
