shapes,blockN,condition,div_true,flipped,div_pos,stim_pos,target_pos,class_true,noise_pos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
input_data/stims/Shape_1.10_2.00.png,1,baseline,0.0,0,0.0,-0.18,-0.18,0,2.0,-13.197581,6.874856,4.042023,-2.3565528,-1.5494331,0.2979686,0.9189241,2.6980145,-0.12135043,-1.8990593,0.7072103,0.4180485,1.0221386,-0.7114986,0.3055759,0.36525437,0.55587393,-0.05961817,-0.20271514,-3.5796293e-05,-2.762278e-07,-7.661086e-08,8.2078816e-07,-2.0274572e-06,-8.089232e-07,4.83882e-06,3.1630952e-06,2.6194193e-06,-2.192117e-06,1.7115522e-06,-2.1111605e-06,5.5906125e-06,3.2122064e-06,2.0324019e-06,-2.652161e-06,1.839526e-06,1.005794e-06,-1.2400137e-06,-1.6957849e-06,-5.6217164e-07,-8.592983e-09,-9.108583e-13,9.374412e-13,-6.956317e-13,5.3626043e-13,3.7688394e-13,-3.4895004e-13,2.5698302e-13,-3.065643e-13,8.748237e-14,6.916368e-13,6.603825e-13,-3.5281953e-13,-3.3016303e-13,2.5821047e-13,-5.3514508e-14,1.0405597e-13,2.4203479e-14,-2.4358404e-13,-3.0863582e-13,3.8469485e-14,-2.0385254e-14,-4.4415277e-14,1.3062246e-13
input_data/stims/Shape_1.10_2.00.png,1,baseline,0.0,1,0.0,-0.18,0.18,0,2.0,-13.197581,6.874856,4.042023,-2.3565528,-1.5494331,0.2979686,0.91892415,2.6980145,-0.12135037,-1.89906,0.70720965,0.41804895,1.0221385,-0.7114993,0.3055763,0.36525464,0.555874,-0.059618566,-0.2027151,-3.5796107e-05,3.5432979e-07,-1.3882769e-06,-9.978172e-07,2.4049086e-06,1.5470436e-06,1.2489331e-06,1.1443886e-06,2.5261505e-07,2.4654996e-06,-3.5227897e-06,1.8163513e-06,1.85726e-06,1.3617707e-06,-4.260835e-06,1.0236923e-06,-2.2434285e-06,9.3117626e-07,-2.6555074e-06,-7.709334e-07,6.769343e-06,1.8129926e-07,-7.800622e-13,1.3774447e-12,-2.050418e-12,8.184341e-13,-1.1216956e-12,-3.960064e-14,1.0114175e-12,-1.0269884e-12,4.9575334e-13,-7.961661e-13,-5.698769e-13,1.1580604e-12,8.6789164e-13,1.4466965e-13,2.1935901e-13,-5.4910937e-13,1.3761549e-13,4.455382e-14,-6.508808e-13,-4.4042454e-14,-3.3184308e-14,1.247663e-13,-7.665431e-15
input_data/stims/Shape_1.30_2.00.png,1,baseline,0.0,0,0.0,-0.14,-0.14,0,2.0,-8.087356,8.910083,2.4539006,-0.6617079,-4.0790596,-0.5196802,1.007448,-1.2615905,0.67836875,0.8485219,-0.42871085,1.8414178,-0.69203174,0.9285887,-0.5737922,-0.47694024,0.04456685,-0.22665717,0.17149016,-3.5796005e-05,-1.6057103e-06,8.1168093e-07,8.7112704e-07,-2.5294725e-07,1.5484702e-06,-2.3782065e-06,3.2121204e-06,1.8265365e-06,1.2254865e-06,4.113279e-06,-2.0798113e-07,-5.0513668e-06,2.1342214e-06,2.0577297e-06,-4.1586063e-06,2.9899414e-07,-6.7872286e-08,5.293949e-07,-2.8944334e-07,4.8528836e-06,1.2790828e-07,1.2885784e-12,-1.0609199e-12,1.70638e-12,-6.658836e-13,1.2419657e-12,1.2400472e-13,-1.2399366e-12,3.1921717e-13,-7.4346253e-13,1.5998192e-14,-1.6949155e-13,-5.195916e-13,-6.403306e-14,4.5293538e-13,-3.6167906e-13,6.543711e-13,8.337268e-13,6.9848e-13,-6.0850885e-15,1.382393e-13,-5.3538144e-14,1.396701e-13,2.8643787e-13
input_data/stims/Shape_1.30_2.00.png,1,baseline,0.0,1,0.0,-0.14,0.14,0,2.0,-8.087356,8.910083,2.4539006,-0.6617079,-4.0790596,-0.5196802,1.007448,-1.2615905,0.67836875,0.84852195,-0.42871088,1.8414178,-0.69203156,0.9285882,-0.5737924,-0.47694018,0.04456683,-0.22665663,0.17148966,-3.5796435e-05,-3.0372412e-06,6.094211e-07,-7.8103466e-07,4.1558894e-07,-5.053013e-06,2.9025585e-07,-6.6545294e-07,1.2519869e-06,2.863368e-06,-2.7907283e-06,-2.2690422e-06,-3.4564823e-07,8.1010523e-07,-3.0180718e-06,-3.8452504e-06,3.7118653e-07,1.2767994e-07,-1.9530876e-06,5.2404757e-06,-2.1464157e-06,-7.21746e-08,3.0245218e-13,-2.3537005e-13,-9.926867e-13,-2.5235952e-13,3.2268277e-13,-5.2570166e-13,-1.2799851e-13,3.4060626e-13,-5.207094e-13,3.1581535e-13,9.41049e-13,-2.9562916e-13,5.2248093e-13,-3.489957e-14,1.7043649e-13,-5.59281e-13,-3.5876862e-13,-7.6867804e-13,7.1031586e-15,9.114922e-14,2.6594997e-13,1.5486058e-13,2.2012463e-13
input_data/stims/Shape_1.50_2.00.png,1,baseline,0.0,0,0.0,-0.1,-0.1,0,2.0,-4.718354,7.5269384,-0.47057757,-2.6950135,-2.134237,-0.9663434,1.3808033,-2.0734022,-1.0062745,1.2926369,0.3582556,-1.7318469,0.20303278,-1.0438145,0.5148914,0.2537323,-0.46889552,0.36071998,-0.10011502,-3.5795518e-05,2.0712914e-06,-2.4031808e-06,2.471135e-06,-4.633714e-06,1.1907483e-06,1.6119368e-06,8.6938115e-07,-3.0201243e-06,-8.627527e-07,-3.6791477e-07,-5.340956e-06,-3.0854444e-06,9.2081984e-07,-4.9062687e-06,1.2988879e-07,5.599673e-08,-1.920739e-06,1.349959e-07,-8.5065653e-07,1.5340072e-07,6.3917587e-09,-9.2776616e-14,-5.6290985e-13,-2.7856008e-13,-5.3853325e-13,-3.9585715e-14,-5.07284e-13,-2.771381e-13,-5.6405e-13,-1.4010523e-13,-2.9808472e-13,-3.9270703e-13,-2.8576566e-13,-1.102509e-12,6.534976e-13,-1.5051765e-13,-3.0222987e-13,8.2931616e-13,-2.304746e-14,1.4121137e-13,7.5870184e-14,-1.5693225e-13,1.1241526e-13,-3.0064826e-13
input_data/stims/Shape_1.50_2.00.png,1,baseline,0.0,1,0.0,-0.1,0.1,0,2.0,-4.718354,7.5269384,-0.47057757,-2.6950135,-2.134237,-0.9663434,1.3808033,-2.0734022,-1.0062745,1.2926369,0.35825557,-1.7318469,0.20303279,-1.0438147,0.5148915,0.25373212,-0.4688953,0.36071968,-0.100114934,-3.5796944e-05,-2.2032884e-06,1.1352902e-06,1.1534987e-06,3.9062598e-07,-5.224912e-06,-1.0231059e-06,9.439794e-07,1.2494146e-06,-1.3259704e-06,6.5726107e-07,-1.7184484e-06,6.165781e-07,6.6650436e-08,1.9264664e-06,2.9255818e-06,-7.074496e-06,-2.9880507e-06,-7.108378e-08,-1.7434726e-06,1.2687142e-06,3.8034226e-08,7.2363244e-15,-1.2186903e-12,1.920923e-12,-4.931314e-13,4.198258e-13,8.005328e-13,-7.4301036e-13,5.955028e-13,-9.377363e-13,3.0748838e-13,-5.8475783e-13,-7.976749e-13,-2.2364193e-13,-3.985585e-14,-1.2560103e-13,-7.9218526e-14,8.117207e-13,1.8298197e-13,-3.8237447e-13,-2.2414525e-13,1.6078102e-13,1.0113307e-14,9.376036e-14
input_data/stims/Shape_1.70_2.00.png,1,baseline,0.0,0,0.0,-0.06,-0.06,0,2.0,-1.0305903,6.9581966,-3.7344654,-1.5596906,-0.16497788,-0.94319373,-3.7824051,0.8277048,-1.5614139,-0.31449252,1.1447974,-0.6277592,-0.48716736,0.9466808,-0.51757455,0.1705721,0.053251594,-0.18811004,0.5218592,-3.5794965e-05,2.4931855e-06,1.4003324e-06,1.2228756e-07,-4.481848e-06,-2.6712664e-06,-1.6960354e-06,-9.725421e-07,1.6268334e-07,2.9754146e-06,2.806313e-07,2.8237366e-06,3.2698445e-06,-3.4176076e-06,-1.3310437e-06,-3.5789258e-06,9.07421e-07,-3.5085093e-06,2.1177182e-06,-2.25924e-06,2.0024313e-06,5.8234065e-08,5.298831e-13,6.390617e-13,-3.2463878e-13,-2.1845114e-14,4.3060287e-13,-2.1050644e-13,3.6010512e-13,-3.041207e-13,-7.1657556e-13,-1.0566837e-12,-8.5804817e-13,1.4856871e-13,4.85693e-13,-3.4068378e-13,1.7712286e-14,-8.1099075e-14,-7.2439525e-14,-4.205626e-13,5.61851e-13,2.9511997e-14,-1.1233635e-13,8.815672e-15,1.4566457e-13
input_data/stims/Shape_1.70_2.00.png,1,baseline,0.0,1,0.0,-0.06,0.06,0,2.0,-1.0305903,6.9581966,-3.7344654,-1.5596906,-0.16497788,-0.94319373,-3.7824051,0.8277048,-1.5614139,-0.31449252,1.1447974,-0.6277592,-0.48716736,0.94668067,-0.51757455,0.17057191,0.0532514,-0.1881103,0.5218588,-3.579677e-05,-2.9654168e-06,1.2676754e-06,-7.088714e-07,-1.5183776e-06,2.2760967e-06,1.2048748e-06,-4.4283806e-06,-5.3297995e-06,1.4188331e-06,3.3450854e-06,5.454594e-09,1.7318354e-06,2.5241955e-06,2.6297187e-07,-1.8719945e-06,-4.236144e-06,2.7201124e-06,-5.027972e-07,4.713506e-07,-1.7803619e-07,-5.7679057e-09,-1.426866e-13,2.5030091e-14,-5.1653634e-14,-5.2164853e-13,-5.3752812e-14,-6.1507716e-13,3.039256e-13,7.42529e-13,4.2345335e-13,-2.800351e-13,-4.939792e-13,5.993735e-13,1.194534e-12,1.0372924e-14,-1.0596879e-12,2.654115e-13,-8.683562e-13,-1.436333e-13,-5.3214193e-13,-3.8412063e-14,1.1961664e-14,-1.6151315e-13,8.172711e-14
input_data/stims/Shape_1.90_2.00.png,1,baseline,0.0,0,0.0,-0.02,-0.02,0,2.0,2.039415,5.0780277,-3.2995255,-0.9149262,0.19627869,2.4386308,-2.4817202,-1.554827,2.422953,-1.0303869,-0.12856747,0.021350004,0.12366592,-0.551325,0.720723,-0.8139278,-0.121526405,0.27567285,-0.053322013,-3.5796125e-05,-5.4535053e-07,-1.2027425e-06,-9.43081e-07,2.3848543e-07,4.3249483e-06,3.457502e-07,-2.2241356e-06,4.2276974e-06,-2.6072e-06,9.135154e-07,1.6944842e-06,-3.8146587e-07,-6.8063116e-07,-1.8188571e-06,-2.842819e-06,-2.7711803e-06,-5.0946664e-06,-3.6720317e-06,7.116851e-08,-2.4271283e-06,-6.335705e-08,1.5425921e-12,-9.317828e-13,1.5288849e-12,4.9866974e-13,-8.9844744e-13,-1.7659714e-13,-1.7983705e-12,1.0460976e-12,5.4910893e-14,-6.489148e-14,-7.285163e-13,2.9208996e-14,6.6143414e-14,-2.5368572e-13,-4.681166e-13,3.3214815e-13,-3.68895e-13,-4.2969626e-14,4.860383e-13,2.1559295e-15,4.8647823e-14,-9.812596e-14,4.9228965e-14
input_data/stims/Shape_1.90_2.00.png,1,baseline,0.0,1,0.0,-0.02,0.02,0,2.0,2.039415,5.0780277,-3.2995255,-0.9149262,0.19627869,2.4386308,-2.4817202,-1.554827,2.422953,-1.0303869,-0.12856747,0.021350004,0.12366592,-0.551325,0.720723,-0.8139278,-0.12152646,0.27567288,-0.053322185,-3.579632e-05,-1.2593605e-06,-3.4494565e-06,7.322746e-06,3.5705402e-06,-4.550595e-07,1.5577901e-06,-4.877704e-07,-1.4349954e-06,4.594307e-06,-1.0155975e-07,1.1274966e-06,1.0092076e-07,2.499065e-07,1.4835417e-06,-6.763815e-07,8.240429e-07,-1.3754194e-06,1.9304615e-07,-2.1456328e-06,-1.6539376e-06,-3.6837267e-08,6.6838966e-13,5.228696e-13,-6.547187e-13,5.5032656e-14,-5.5779773e-13,-4.540196e-13,-2.4592966e-13,-2.355383e-13,-2.5181116e-15,1.0115625e-13,3.7011662e-13,4.61591e-13,-3.3958774e-14,-4.013596e-13,3.1202e-13,-3.9421705e-13,-8.4217274e-13,-3.5542362e-13,2.2292252e-13,-3.0076846e-14,1.2057463e-13,-4.638614e-14,2.1345e-13
