condition,stim,boundary,cond_unique_stim_idx,class,y_pred,class_pred,net_idx,stim_aligned,resp_aligned
flat,0.9249999999999999,0.7500000000000001,13,1,0.8586638,0.5950805,0,0.17499999999999982,0.10866379737853993
flat,0.9249999999999999,0.7500000000000001,13,1,0.8586638,0.5950805,0,0.17499999999999982,0.10866379737853993
flat,0.975,0.7500000000000001,14,1,0.8617786,0.6242139,0,0.22499999999999987,0.11177861690521229
flat,0.975,0.7500000000000001,14,1,0.8617786,0.6242139,0,0.22499999999999987,0.11177861690521229
base,0.025000000000000022,0.5,0,0,0.2645154,-0.41442627,1,-0.475,-0.23548460006713867
base,0.075,0.5,1,0,0.2803747,-0.37609234,1,-0.425,-0.2196252942085266
base,0.12500000000000003,0.5,2,0,0.29623398,-0.33775848,1,-0.375,-0.20376601815223694
base,0.17500000000000002,0.5,3,0,0.31209326,-0.29942462,1,-0.32499999999999996,-0.18790674209594727
base,0.225,0.5,4,0,0.3345662,-0.23577768,1,-0.275,-0.16543379426002502
base,0.275,0.5,5,0,0.3581123,-0.16802281,1,-0.22499999999999998,-0.14188769459724426
base,0.325,0.5,6,0,0.38165846,-0.100268036,1,-0.175,-0.11834153532981873
base,0.37500000000000006,0.5,7,0,0.40520468,-0.032513186,1,-0.12499999999999994,-0.09479531645774841
base,0.425,0.5,8,0,0.42875075,0.035241663,1,-0.07500000000000001,-0.07124924659729004
base,0.475,0.5,9,0,0.45229703,0.10299641,1,-0.025000000000000022,-0.04770296812057495
base,0.525,0.5,10,1,0.47584307,0.17075127,1,0.025000000000000022,-0.024156928062438965
base,0.575,0.5,11,1,0.49938923,0.23850614,1,0.07499999999999996,-0.0006107687950134277
base,0.625,0.5,12,1,0.52293545,0.3062609,1,0.125,0.022935450077056885
base,0.675,0.5,13,1,0.54648155,0.37401575,1,0.17500000000000004,0.046481549739837646
base,0.7250000000000001,0.5,14,1,0.5700278,0.44177067,1,0.2250000000000001,0.07002782821655273
base,0.7749999999999999,0.5,15,1,0.5935739,0.50952536,1,0.2749999999999999,0.0935739278793335
base,0.825,0.5,16,1,0.61712015,0.5772802,1,0.32499999999999996,0.11712014675140381
base,0.8749999999999999,0.5,17,1,0.6406663,0.64503515,1,0.3749999999999999,0.14066630601882935
base,0.9249999999999999,0.5,18,1,0.6642124,0.71278995,1,0.42499999999999993,0.1642124056816101
base,0.975,0.5,19,1,0.6877586,0.7805448,1,0.475,0.18775862455368042
curv,0.025000000000000022,0.25,0,0,0.13297209,-0.32691145,1,-0.22499999999999998,-0.11702790856361389
curv,0.025000000000000022,0.25,0,0,0.13297209,-0.32691145,1,-0.22499999999999998,-0.11702790856361389
curv,0.075,0.25,1,0,0.14136562,-0.29338276,1,-0.175,-0.10863438248634338
curv,0.075,0.25,1,0,0.14136562,-0.29338276,1,-0.175,-0.10863438248634338
curv,0.12500000000000003,0.25,2,0,0.15286046,-0.24798375,1,-0.12499999999999997,-0.09713953733444214
curv,0.12500000000000003,0.25,2,0,0.15286046,-0.24798375,1,-0.12499999999999997,-0.09713953733444214
curv,0.17500000000000002,0.25,3,0,0.16894081,-0.1850341,1,-0.07499999999999998,-0.08105918765068054
curv,0.17500000000000002,0.25,3,0,0.16894081,-0.1850341,1,-0.07499999999999998,-0.08105918765068054
curv,0.225,0.25,4,0,0.18594417,-0.12149039,1,-0.024999999999999994,-0.06405583024024963
curv,0.225,0.25,4,0,0.18594417,-0.12149039,1,-0.024999999999999994,-0.06405583024024963
